item_code,asset_code,old_code,serial_code,model,brand,entry_date,assignment_date,condition,availability_status,notes
EQ-0365,28472104,102094,SIN.S/N 102094,IS,102094,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0365,28472105,102095,SIN.S/N 102095,IS,102095,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0365,28472106,102096,SIN.S/N 102096,IS,102096,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0365,28472107,102097,SIN.S/N 102097,IS,102097,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0455,28472108,102100,SIN.S/N 102100,K,102100,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0512,28472109,102102,SIN.S/N 872 361,SM,MWB MESSWANDLED-BAU AG BAMBERG,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0502,28472110,102103,SIN.S/N 872 986,STM,MWB MESSWANDLED-BAU AG BAMBERG,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0501,28472111,102104,SIN.S/N 860736,GM,MWB MESSWANDLED-BAU AG BAMBERG,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0531,28472112,102110,SIN.S/N 909748,ZAG,MWB MESSWANDLED-BAU AG BAMBERG,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0529,28472113,102111,SIN.S/N 909 745,EZK,102111,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0530,28472114,102112,SIN.S/N 911 644,EZK,102112,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0451,28472115,102113,SIN.S/N 102113,MF,102113,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0392,28472116,102116,SIN.S/N 865289,102116,102116,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0353,28472117,102117,SIN.S/N 102117,EST,102117,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0454,28472118,102118,SIN.S/N 829 493,HSV,102118,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
